,stopName,stopDesc,zoneId,zoneName,stopLat,stopLon
847,Jasień PKM,Jasień PKM,1.0,Gdańsk,54.35322,18.55003
848,,Muchowskiego,,,54.54819,18.55164
849,Belgradzka,Belgradzka,1.0,Gdańsk,54.35576,18.58833
850,,Halicka,,,54.49119,18.53357
851,,Oksywie Górne,,,54.54979,18.54804
852,Biblioteka Główna UG,Biblioteka Główna UG,1.0,Gdańsk,54.39731,18.57719
853,Kiełpinek PKM,Kiełpinek PKM,1.0,Gdańsk,54.35533,18.52804
854,Matarnia PKM,Matarnia PKM,1.0,Gdańsk,54.37324,18.50588
855,,Pancerna,,,54.55343,18.54731
856,,Redłowo SKM - Park Technologiczny,,,54.49206,18.54068
857,,Oksywie Dickmana,,,54.55757,18.54677
867,Cmentarz Garnizonowy,Cmentarz Garnizonowy (N/Ż),1.0,Gdańsk,54.35927,18.64008
868,Andruszkiewicza,Andruszkiewicza (N/Ż),1.0,Gdańsk,54.36214,18.69022
869,Andruszkiewicza,Andruszkiewicza,1.0,Gdańsk,54.36655,18.69293
870,,Czwartaków,,,54.54979,18.54191
872,,Centrum Nauki Experyment,,,54.49756,18.53824
874,Ku Ujściu,Ku Ujściu,1.0,Gdańsk,54.37908,18.67721
875,,Oksywie Godebskiego,,,54.55083,18.53942
877,,Harcerska,,,54.5033,18.53649
880,,Alzacka,,,54.54957,18.53907
883,,Kwiatkowskiego,,,54.55423,18.50773
884,,Turkusowa,,,54.55744,18.51612
886,,Dąbka - Zespół Szkół,,,54.55587,18.52076
887,,Benisławskiego,,,54.55429,18.52438
888,,Wzgórze Św. Maksymiliana SKM,,,54.50814,18.53657
890,,Stolarska,,,54.551,18.51906
891,,Płyta Redłowska,,,54.49183,18.55236
893,,Białowieska,,,54.55196,18.51503
894,,Piłsudskiego ,,,54.50777,18.54479
895,,Ejsmonda,,,54.50488,18.55269
897,,Dąbka - Zielona,,,54.5536,18.52878
898,,Korczaka,,,54.49635,18.54464
899,,Bosmańska - Zielona,,,54.54939,18.53066
901,,Gdynia Arena,,,54.49872,18.53242
902,,Stare Obłuże,,,54.56064,18.50998
904,,Maciejewicza,,,54.56299,18.50851
905,,Staniewicza,,,54.56322,18.49852
907,,Urząd Miasta - Świętojańska,,,54.50863,18.53805
909,,Steyera,,,54.56343,18.48585
911,,Wzgórze Św. Maksymiliana - Kapliczka,,,54.50553,18.53587
912,,Pogórze - Pogórze Górne,,,54.5634,18.48129
913,,Czernickiego,,,54.56278,18.47555
915,,Pogórze Dolne,,,54.55716,18.47886
916,,Żelazna,,,54.55567,18.48396
917,,Kopernika - Partyzantów,,,54.50574,18.53911
919,,Żeliwna,,,54.55472,18.49218
920,,Focha,,,54.50365,18.54036
921,,Podgórska,,,54.55332,18.49979
922,,Sosnowiecka,,,54.48495,18.53509
924,,Kuśnierska,,,54.55234,18.50345
925,,Kurpiowska,,,54.48528,18.53183
928,,Baza na Pogórzu Dolnym,,,54.55917,18.47624
930,,Zielona - Działki I,,,54.56079,18.53339
931,,Pogórze Górne,,,54.56316,18.48141
934,Jagiełły,Jagiełły (N/Ż),1.0,Gdańsk,54.30465,18.61203
935,,Obłuże Maciejewicza,,,54.56276,18.50708
936,Jana z Kolna,Jana z Kolna (dla wysiadających),1.0,Gdańsk,54.36166,18.64554
937,Węzeł Groddecka,Węzeł Groddecka,1.0,Gdańsk,54.34847,18.64223
938,,Wąwóz Ostrowicki,,,54.56533,18.53491
939,Żabianka SKM,Żabianka SKM (techniczny),1.0,Gdańsk,54.42279,18.56966
940,,Skwer Kościuszki - InfoBox,,,54.51798,18.54202
941,Jelitkowo,Jelitkowo (techniczny),1.0,Gdańsk,54.42369,18.59422
942,Leźnieńska,Leźnieńska (N/Ż),1.0,Gdańsk,54.35353,18.46949
943,,Kadmowa,,,54.55911,18.47239
944,,Zielona - Kościół,,,54.57627,18.53789
945,,Pogórze Dolne Złota,,,54.56087,18.46675
946,Hospicjum,Sopot Hospicjum (N/Ż),2.0,Sopot,54.42562,18.56292
948,,Galeria Szperk,,,54.56372,18.50478
949,,Plac Kaszubski - Świętojańska,,,54.5226,18.5433
950,,Babie Doły,,,54.57779,18.53882
957,,3 Maja,,,54.51981,18.53472
959,Nad Stawem,Nad Stawem,1.0,Gdańsk,54.38344,18.6065
960,Kokoszki,Kokoszki (N/Ż),1.0,Gdańsk,54.35307,18.49639
961,,Gdynia Dworzec Gł. PKP - Morska,,,54.51998,18.52958
963,,Zielona - Działki II,,,54.55621,18.53123
964,,Pogórze - Słowackiego,,,54.56514,18.48143
965,,Pogórze - Majakowskiego,,,54.56642,18.47985
966,Topazowa,Topazowa (N/Ż),1.0,Gdańsk,54.30982,18.60061
967,,Pogórze - Szkolna,,,54.56979,18.47566
968,,Suchy Dwór - Szkolna,,,54.57235,18.47273
969,Kolorowa,Kolorowa,1.0,Gdańsk,54.31174,18.60244
971,,Pogórze - Dobke,,,54.57199,18.48868
973,,Pogórze - Herberta,,,54.57562,18.49065
974,,Kosakowo - Urząd Gminy,,,54.5879,18.49333
