,stopName,stopDesc,zoneId,zoneName,stopLat,stopLon,coord,time_sec,color
409,Modra IV,Modra IV (N/Ż),1.0,Gdańsk,54.32937,18.68401,"54.32937, 18.68401",3951,black
471,Rogalińska,Rogalińska,1.0,Gdańsk,54.33107,18.60045,"54.33107, 18.60045",2663,yellow
434,Kolonia Mysia,Kolonia Mysia,1.0,Gdańsk,54.33196,18.64286,"54.33196, 18.64286",3480,red
431,Olszyńska,Olszyńska,1.0,Gdańsk,54.33359,18.65681,"54.33359, 18.65681",3326,red
432,Olszyńska,Olszyńska ,1.0,Gdańsk,54.33405,18.65529,"54.33405, 18.65529",3240,red
433,Przybrzeżna,Przybrzeżna (N/Ż),1.0,Gdańsk,54.3349,18.647920000000006,"54.3349, 18.647920000000006",3142,red
460,Miedza,Miedza (N/Ż),1.0,Gdańsk,54.33517,18.66182,"54.33517, 18.66182",3600,black
470,Osiedle Jary,Osiedle Jary,1.0,Gdańsk,54.33583,18.60057,"54.33583, 18.60057",2363,yellow
473,Zagony,Zagony (N/Ż),1.0,Gdańsk,54.33634,18.65865,"54.33634, 18.65865",3584,red
402,Kopeckiego,Kopeckiego,1.0,Gdańsk,54.33727,18.6128,"54.33727, 18.6128",2344,yellow
423,Sikorskiego,Sikorskiego,1.0,Gdańsk,54.33826,18.61723,"54.33826, 18.61723",2523,yellow
442,Łapińska,Łapińska (N/Ż),1.0,Gdańsk,54.33975,18.50097,"54.33975, 18.50097",3720,black
478,Śluza,Śluza,1.0,Gdańsk,54.34116,18.65822,"54.34116, 18.65822",3316,red
451,Forsycji,Forsycji (N/Ż),1.0,Gdańsk,54.34239,18.85777,"54.34239, 18.85777",4260,black
462,Turystyczna,Turystyczna (N/Ż),1.0,Gdańsk,54.3426,18.85214,"54.3426, 18.85214",4239,black
426,Falowa,Falowa (N/Ż),1.0,Gdańsk,54.34307,18.83613,"54.34307, 18.83613",4996,black
411,Życzliwa,Życzliwa (N/Ż),1.0,Gdańsk,54.34588000000001,18.53334,"54.34588000000001, 18.53334",3180,red
428,Sobieszewska,Sobieszewska (N/Ż),1.0,Gdańsk,54.34692,18.8162,"54.34692, 18.8162",4560,black
412,Gostyńska Szpital,Gostyńska Szpital (N/Ż),1.0,Gdańsk,54.3474,18.51065,"54.3474, 18.51065",3801,black
454,Dom Fahrenheita,Dom Fahrenheita,1.0,Gdańsk,54.34757,18.65232,"54.34757, 18.65232",2456,yellow
453,Teatr Szekspirowski,Teatr Szekspirowski (N/Ż),1.0,Gdańsk,54.34837,18.64718,"54.34837, 18.64718",2218,yellow
492,Przytulna,Przytulna,1.0,Gdańsk,54.34838000000001,18.53332,"54.34838000000001, 18.53332",1930,yellow
455,Długi Targ,Długi Targ,1.0,Gdańsk,54.34874,18.65439,"54.34874, 18.65439",2418,yellow
493,Szczęśliwa,Szczęśliwa,1.0,Gdańsk,54.34907,18.528,"54.34907, 18.528",1944,yellow
456,Świętego Ducha,Świętego Ducha,1.0,Gdańsk,54.3502,18.65491,"54.3502, 18.65491",2323,yellow
466,Staw Wróbla,Staw Wróbla ,1.0,Gdańsk,54.35021999999999,18.55494,"54.35021999999999, 18.55494",1440,blue
452,Katownia,Katownia,1.0,Gdańsk,54.35049,18.6476,"54.35049, 18.6476",2099,yellow
465,Zacna,Zacna,1.0,Gdańsk,54.35063,18.56318,"54.35063, 18.56318",1527,blue
464,Wołkowyska,Wołkowyska,1.0,Gdańsk,54.35079,18.56989,"54.35079, 18.56989",1373,blue
457,Żuraw,Żuraw,1.0,Gdańsk,54.35085,18.6571,"54.35085, 18.6571",2442,yellow
413,Piekarnicza,Piekarnicza,1.0,Gdańsk,54.35211999999999,18.59188,"54.35211999999999, 18.59188",1266,blue
444,Stokłosy,Stokłosy (N/Ż),1.0,Gdańsk,54.35231,18.47895,"54.35231, 18.47895",2346,yellow
458,Katarzynki,Katarzynki,1.0,Gdańsk,54.35424,18.65375,"54.35424, 18.65375",2365,yellow
495,Kiełpinek,Kiełpinek (N/Ż),1.0,Gdańsk,54.35491999999999,18.52343,"54.35491999999999, 18.52343",1526,blue
401,Kartuska,Kartuska (N/Ż),1.0,Gdańsk,54.35508000000001,18.48997,"54.35508000000001, 18.48997",1695,blue
459,Heweliusza,Heweliusza,1.0,Gdańsk,54.35632,18.65228,"54.35632, 18.65228",2245,yellow
414,Belgradzka,Belgradzka (N/Ż),1.0,Gdańsk,54.35656,18.58719,"54.35656, 18.58719",837,green
474,Lenartowicza,Lenartowicza,1.0,Gdańsk,54.35799,18.68671,"54.35799, 18.68671",3540,red
400,Grzybowa,Grzybowa (N/Ż),1.0,Gdańsk,54.36103000000001,18.46093,"54.36103000000001, 18.46093",4847,black
447,Dębinki,Dębinki,1.0,Gdańsk,54.36322,18.631,"54.36322, 18.631",2193,yellow
418,Karskiego,Karskiego,1.0,Gdańsk,54.3637,18.55617,"54.3637, 18.55617",1234,blue
488,Szpital Zakaźny,Szpital Zakaźny,1.0,Gdańsk,54.3637,18.61618,"54.3637, 18.61618",2094,yellow
489,Centrum Medycyny Inwazyjnej,Centrum Medycyny Inwazyjnej,1.0,Gdańsk,54.36626999999999,18.61955,"54.36626999999999, 18.61955",2100,yellow
484,Zbieżna,Zbieżna (N/Ż),1.0,Gdańsk,54.36695,18.48793,"54.36695, 18.48793",2632,yellow
472,Smoluchowskiego,Smoluchowskiego,1.0,Gdańsk,54.36711,18.62386,"54.36711, 18.62386",2160,yellow
487,Traugutta,Traugutta,1.0,Gdańsk,54.36816,18.62974,"54.36816, 18.62974",2280,yellow
463,Sąsiedzka,Sąsiedzka (N/Ż),1.0,Gdańsk,54.36942,18.50325,"54.36942, 18.50325",1683,blue
486,Centrum Onkologii,Centrum Onkologii (N/Ż),1.0,Gdańsk,54.37013,18.62715,"54.37013, 18.62715",2511,yellow
485,Opera Bałtycka,Opera Bałtycka (N/Ż),1.0,Gdańsk,54.37281,18.62495,"54.37281, 18.62495",2577,yellow
422,"Ogrody Działkowe ""Rębiechowo"" III","Ogrody Działkowe ""Rębiechowo"" III (N/Ż)",1.0,Gdańsk,54.37389,18.46858,"54.37389, 18.46858",4553,black
421,Góralska,Góralska (N/Ż),1.0,Gdańsk,54.37564,18.5641,"54.37564, 18.5641",223,green
